freq,xdft,psdx
13.826,3.04E-08,3.25E-07
13.831,4.55E-08,4.86E-07
13.835,1.23E-07,1.32E-06
13.839,1.21E-07,1.29E-06
13.844,6.41E-08,6.84E-07
13.848,8.58E-08,9.16E-07
13.853,8.42E-08,8.98E-07
13.857,1.40E-07,1.50E-06
13.861,1.03E-07,1.10E-06
13.866,5.57E-08,5.95E-07
13.87,8.87E-08,9.47E-07
13.874,7.98E-08,8.52E-07
13.879,1.18E-07,1.27E-06
13.883,9.23E-08,9.85E-07
13.888,3.31E-08,3.53E-07
13.892,9.56E-08,1.02E-06
13.896,1.03E-07,1.09E-06
13.901,1.06E-07,1.13E-06
13.905,1.35E-07,1.44E-06
13.91,9.36E-08,9.99E-07
13.914,9.72E-08,1.04E-06
13.918,6.27E-08,6.70E-07
13.923,3.38E-08,3.61E-07
13.927,6.58E-08,7.02E-07
13.931,1.15E-07,1.23E-06
13.936,4.45E-08,4.75E-07
13.94,1.04E-07,1.11E-06
13.945,7.03E-08,7.51E-07
13.949,8.34E-08,8.90E-07
13.953,1.81E-07,1.93E-06
13.958,1.86E-08,1.98E-07
13.962,5.37E-08,5.74E-07
13.967,9.88E-08,1.05E-06
13.971,1.65E-07,1.76E-06
13.975,5.70E-08,6.09E-07
13.98,2.95E-08,3.15E-07
13.984,8.76E-08,9.35E-07
13.989,9.14E-08,9.76E-07
13.993,1.00E-07,1.07E-06
13.997,2.94E-08,3.14E-07
14.002,7.90E-08,8.44E-07
14.006,1.38E-07,1.47E-06
14.01,1.34E-07,1.43E-06
14.015,4.04E-08,4.31E-07
14.019,9.19E-08,9.81E-07
14.024,1.35E-07,1.44E-06
14.028,4.89E-08,5.22E-07
14.032,5.29E-08,5.64E-07
14.037,3.23E-08,3.45E-07
14.041,5.16E-08,5.51E-07
14.046,1.40E-07,1.50E-06
14.05,4.71E-08,5.03E-07
14.054,3.48E-08,3.72E-07
14.059,5.18E-08,5.53E-07
14.063,7.74E-08,8.26E-07
14.067,8.16E-08,8.71E-07
14.072,8.26E-08,8.81E-07
14.076,5.29E-08,5.65E-07
14.081,1.49E-07,1.59E-06
14.085,1.53E-07,1.64E-06
14.089,7.25E-08,7.74E-07
14.094,5.42E-08,5.79E-07
14.098,9.29E-08,9.92E-07
14.103,1.75E-07,1.87E-06
14.107,8.46E-08,9.04E-07
14.111,4.79E-08,5.12E-07
14.116,1.05E-07,1.12E-06
14.12,8.70E-08,9.29E-07
14.125,1.26E-07,1.35E-06
14.129,1.15E-07,1.22E-06
14.133,6.89E-08,7.36E-07
14.138,1.55E-07,1.65E-06
14.142,1.82E-07,1.94E-06
14.146,1.02E-07,1.08E-06
14.151,5.88E-08,6.28E-07
14.155,9.29E-08,9.92E-07
14.16,1.46E-07,1.56E-06
14.164,1.02E-07,1.09E-06
14.168,8.78E-08,9.37E-07
14.173,6.09E-08,6.50E-07
14.177,1.14E-07,1.22E-06
14.182,7.55E-08,8.06E-07
14.186,1.03E-07,1.09E-06
14.19,4.77E-08,5.09E-07
14.195,7.34E-08,7.84E-07
14.199,1.83E-07,1.96E-06
14.203,4.62E-08,4.93E-07
14.208,1.08E-08,1.16E-07
14.212,6.04E-08,6.45E-07
14.217,9.93E-08,1.06E-06
14.221,6.47E-08,6.91E-07
14.225,1.29E-07,1.37E-06
14.23,5.86E-08,6.26E-07
14.234,1.46E-07,1.56E-06
14.239,1.80E-07,1.92E-06
14.243,4.65E-08,4.96E-07
14.247,4.67E-08,4.99E-07
14.252,9.06E-08,9.67E-07
14.256,1.10E-07,1.18E-06
14.26,4.41E-08,4.71E-07
14.265,9.93E-08,1.06E-06
14.269,6.04E-08,6.45E-07
14.274,7.74E-08,8.26E-07
14.278,1.44E-07,1.54E-06
14.282,1.36E-07,1.45E-06
14.287,3.89E-08,4.15E-07
14.291,1.13E-07,1.21E-06
14.296,8.79E-08,9.38E-07
14.3,4.39E-08,4.69E-07
14.304,1.02E-07,1.09E-06
14.309,6.00E-08,6.41E-07
14.313,9.80E-08,1.05E-06
14.318,6.29E-08,6.72E-07
14.322,2.07E-08,2.21E-07
14.326,2.54E-08,2.71E-07
14.331,1.85E-07,1.98E-06
14.335,1.37E-07,1.47E-06
14.339,1.15E-07,1.23E-06
14.344,6.36E-08,6.80E-07
14.348,7.02E-08,7.49E-07
14.353,1.90E-07,2.03E-06
14.357,9.96E-08,1.06E-06
14.361,2.42E-08,2.58E-07
14.366,7.79E-08,8.31E-07
14.37,1.02E-07,1.09E-06
14.375,5.48E-08,5.85E-07
14.379,6.09E-08,6.50E-07
14.383,6.24E-08,6.66E-07
14.388,1.37E-07,1.46E-06
14.392,1.35E-07,1.44E-06
14.396,1.17E-07,1.25E-06
14.401,1.01E-07,1.08E-06
14.405,1.10E-07,1.17E-06
14.41,1.49E-07,1.60E-06
14.414,1.68E-07,1.79E-06
14.418,5.15E-08,5.49E-07
14.423,5.79E-08,6.18E-07
14.427,1.03E-07,1.10E-06
14.432,1.67E-08,1.78E-07
14.436,5.00E-08,5.34E-07
14.44,1.35E-07,1.44E-06
14.445,1.83E-07,1.95E-06
14.449,6.69E-08,7.14E-07
14.453,8.64E-08,9.22E-07
14.458,7.35E-08,7.84E-07
14.462,1.18E-07,1.26E-06
14.467,1.88E-07,2.00E-06
14.471,5.37E-08,5.73E-07
14.475,4.70E-08,5.01E-07
14.48,2.76E-08,2.94E-07
14.484,4.90E-08,5.23E-07
14.489,2.04E-08,2.18E-07
14.493,9.02E-08,9.63E-07
14.497,6.16E-08,6.58E-07
14.502,1.01E-07,1.08E-06
